Vg,Id,phi_surface,Polarization,E_fe,direction,converged
-3.0,1e-12,0.0,-37.99487005483265,-60055435.78688019,forward,False
-2.9,1e-12,0.0,-37.99421541148931,-58053587.927317515,forward,False
-2.8,1e-12,0.0,-37.99347723487042,-56051740.067754835,forward,False
-2.6999999999999997,1e-12,0.0,-37.99264486797666,-54049892.20819216,forward,False
-2.5999999999999996,1e-12,0.0,-37.99170629473971,-52048044.34862949,forward,False
-2.4999999999999996,1e-12,0.0,-37.99064796684602,-50046196.48906681,forward,False
-2.3999999999999995,1e-12,0.0,-37.98945460853292,-48044348.62950414,forward,False
-2.2999999999999994,1e-12,0.0,-37.988108996565835,-46042500.769941464,forward,False
-2.1999999999999993,1e-12,0.0,-37.986591712254494,-44040652.910378784,forward,False
-2.099999999999999,1e-12,0.0,-37.9848808619719,-42038805.05081611,forward,False
-1.9999999999999991,1e-12,0.0,-37.98295176219723,-40036957.19125344,forward,False
-1.899999999999999,1e-12,0.0,-37.98077658460714,-38035109.331690766,forward,False
-1.799999999999999,1e-12,0.0,-37.978323956182926,-36033261.47212809,forward,False
-1.6999999999999988,1e-12,0.0,-37.975558508676606,-34031413.61256541,forward,False
-1.5999999999999988,1e-12,0.0,-37.97244037107963,-32029565.75300274,forward,False
-1.4999999999999987,1e-12,0.0,-37.96892459795591,-30027717.893440064,forward,False
-1.3999999999999986,1e-12,0.0,-37.96496052562626,-28025870.03387739,forward,False
-1.2999999999999985,1e-12,0.0,-37.960491047215534,-26024022.174314715,forward,False
-1.1999999999999984,1e-12,0.0,-37.95545179648553,-24022174.31475204,forward,False
-1.0999999999999983,1e-12,0.0,-37.94977022916605,-22020326.45518937,forward,False
-0.9999999999999982,1e-12,0.0,-37.9433645891511,-20018478.59562669,forward,False
-0.8999999999999981,1e-12,0.0,-37.93614274543592,-18016630.73606402,forward,False
-0.799999999999998,1e-12,0.0,-37.92800088402158,-16014782.876501342,forward,False
-0.699999999999998,1e-12,0.0,-37.9188220371952,-14012935.01693867,forward,False
-0.5999999999999979,1e-12,0.0,-37.90847443059565,-12011087.157375995,forward,False
-0.4999999999999978,1e-12,0.0,-37.896809626286974,-10009239.297813319,forward,False
-0.3999999999999977,1e-12,0.0,-37.883660437678444,-8007391.438250646,forward,False
-0.2999999999999976,1e-12,0.0,-37.86883858954811,-6005543.5786879705,forward,False
-0.1999999999999975,1e-12,0.0,-37.852132093648194,-4003695.719125296,forward,False
-0.09999999999999742,1e-12,0.0,-37.833302307405205,-2001847.8595626212,forward,False
2.6645352591003757e-15,1e-12,0.0,-37.81208064009576,5.333994205159359e-08,forward,False
0.10000000000000275,1e-12,0.0,-37.78816486761337,2001847.859562728,forward,False
0.20000000000000284,1e-12,0.0,-37.761215013594054,4003695.7191254026,forward,False
0.30000000000000293,1e-12,0.0,-37.73084875131436,6005543.578688078,forward,False
0.400000000000003,1e-12,0.0,-37.69663627751959,8007391.438250752,forward,False
0.5000000000000031,1e-12,0.0,-37.65809460632752,10009239.297813427,forward,False
0.6000000000000032,1e-12,0.0,-37.61468122877775,12011087.1573761,forward,False
0.7000000000000033,1e-12,0.0,-37.56578708171603,14012935.016938776,forward,False
0.8000000000000034,1e-12,0.0,-37.51072876885163,16014782.87650145,forward,False
0.9000000000000035,1e-12,0.0,-37.448739977434705,18016630.736064125,forward,False
1.0000000000000036,1e-12,0.0,-37.378962036621886,20018478.5956268,forward,False
1.1000000000000032,1e-12,0.0,-37.300433568922905,22020326.455189463,forward,False
1.2000000000000037,1e-12,0.0,-37.21207919501664,24022174.314752147,forward,False
1.3000000000000043,1e-12,0.0,-37.112697265756864,26024022.174314834,forward,False
1.400000000000004,1e-12,0.0,-37.0009466146593,28025870.033877496,forward,False
1.5000000000000036,1e-12,0.0,-36.87533235113576,30027717.893440165,forward,False
1.600000000000004,1e-12,0.0,-36.734190751075985,32029565.75300285,forward,False
1.7000000000000046,1e-12,0.0,-36.57567334923107,34031413.61256553,forward,False
1.8000000000000043,1e-12,0.0,-36.39773039968617,36033261.4721282,forward,False
1.900000000000004,1e-12,0.0,-36.19809394924805,38035109.33169086,forward,False
2.0000000000000044,1e-12,0.0,-35.9742608667223,40036957.19125355,forward,False
2.100000000000005,1e-12,0.0,-35.723476291751524,42038805.05081622,forward,False
2.2000000000000046,1e-12,0.0,-35.44271811284842,44040652.910378896,forward,False
2.3000000000000043,1e-12,0.0,-35.128683257610405,46042500.76994156,forward,False
2.400000000000005,1e-12,0.0,-34.777776779833424,48044348.62950424,forward,False
2.5000000000000053,1e-12,0.0,-34.38610495745844,50046196.48906693,forward,False
2.600000000000005,1e-12,0.0,-33.94947386822764,52048044.348629594,forward,False
2.7000000000000046,1e-12,0.0,-33.463395178746794,54049892.20819226,forward,False
2.800000000000005,1e-12,0.0,-32.923101153928314,56051740.06775495,forward,False
2.9000000000000057,1e-12,0.0,-32.3235711469197,58053587.92731763,forward,False
3.0000000000000053,1e-12,0.0,37.99487005483265,60055435.78688029,reverse,False
2.9000000000000057,1e-12,0.0,37.99421541148931,58053587.92731763,reverse,False
2.800000000000005,1e-12,0.0,37.99347723487042,56051740.06775495,reverse,False
2.7000000000000046,1e-12,0.0,37.99264486797666,54049892.20819226,reverse,False
2.600000000000005,1e-12,0.0,37.99170629473971,52048044.348629594,reverse,False
2.5000000000000053,1e-12,0.0,37.99064796684602,50046196.48906693,reverse,False
2.400000000000005,1e-12,0.0,37.98945460853292,48044348.62950424,reverse,False
2.3000000000000043,1e-12,0.0,37.988108996565835,46042500.76994156,reverse,False
2.2000000000000046,1e-12,0.0,37.986591712254494,44040652.910378896,reverse,False
2.100000000000005,1e-12,0.0,37.9848808619719,42038805.05081622,reverse,False
2.0000000000000044,1e-12,0.0,37.98295176219723,40036957.19125355,reverse,False
1.900000000000004,1e-12,0.0,37.98077658460714,38035109.33169086,reverse,False
1.8000000000000043,1e-12,0.0,37.978323956182926,36033261.4721282,reverse,False
1.7000000000000046,1e-12,0.0,37.975558508676606,34031413.61256553,reverse,False
1.600000000000004,1e-12,0.0,37.97244037107963,32029565.75300285,reverse,False
1.5000000000000036,1e-12,0.0,37.96892459795591,30027717.893440165,reverse,False
1.400000000000004,1e-12,0.0,37.96496052562626,28025870.033877496,reverse,False
1.3000000000000043,1e-12,0.0,37.960491047215534,26024022.174314834,reverse,False
1.2000000000000037,1e-12,0.0,37.955451796485534,24022174.314752147,reverse,False
1.1000000000000032,1e-12,0.0,37.94977022916605,22020326.455189463,reverse,False
1.0000000000000036,1e-12,0.0,37.9433645891511,20018478.5956268,reverse,False
0.9000000000000035,1e-12,0.0,37.93614274543592,18016630.736064125,reverse,False
0.8000000000000034,1e-12,0.0,37.92800088402158,16014782.87650145,reverse,False
0.7000000000000033,1e-12,0.0,37.9188220371952,14012935.016938776,reverse,False
0.6000000000000032,1e-12,0.0,37.90847443059565,12011087.1573761,reverse,False
0.5000000000000031,1e-12,0.0,37.896809626286974,10009239.297813427,reverse,False
0.400000000000003,1e-12,0.0,37.883660437678444,8007391.438250752,reverse,False
0.30000000000000293,1e-12,0.0,37.86883858954811,6005543.578688078,reverse,False
0.20000000000000284,1e-12,0.0,37.8521320936482,4003695.7191254026,reverse,False
0.10000000000000275,1e-12,0.0,37.833302307405205,2001847.859562728,reverse,False
2.6645352591003757e-15,1e-12,0.0,37.81208064009576,5.333994205159359e-08,reverse,False
-0.09999999999999742,1e-12,0.0,37.788164867613375,-2001847.8595626212,reverse,False
-0.1999999999999975,1e-12,0.0,37.761215013594054,-4003695.719125296,reverse,False
-0.2999999999999976,1e-12,0.0,37.73084875131436,-6005543.5786879705,reverse,False
-0.3999999999999977,1e-12,0.0,37.69663627751959,-8007391.438250646,reverse,False
-0.4999999999999978,1e-12,0.0,37.65809460632753,-10009239.297813319,reverse,False
-0.5999999999999979,1e-12,0.0,37.61468122877775,-12011087.157375995,reverse,False
-0.699999999999998,1e-12,0.0,37.56578708171603,-14012935.01693867,reverse,False
-0.799999999999998,1e-12,0.0,37.51072876885163,-16014782.876501342,reverse,False
-0.8999999999999981,1e-12,0.0,37.448739977434705,-18016630.73606402,reverse,False
-0.9999999999999982,1e-12,0.0,37.378962036621886,-20018478.59562669,reverse,False
-1.0999999999999983,1e-12,0.0,37.30043356892291,-22020326.45518937,reverse,False
-1.1999999999999984,1e-12,0.0,37.21207919501664,-24022174.31475204,reverse,False
-1.2999999999999985,1e-12,0.0,37.11269726575687,-26024022.174314715,reverse,False
-1.3999999999999986,1e-12,0.0,37.000946614659306,-28025870.03387739,reverse,False
-1.4999999999999987,1e-12,0.0,36.87533235113577,-30027717.893440064,reverse,False
-1.5999999999999988,1e-12,0.0,36.73419075107599,-32029565.75300274,reverse,False
-1.6999999999999988,1e-12,0.0,36.57567334923108,-34031413.61256541,reverse,False
-1.799999999999999,1e-12,0.0,36.397730399686175,-36033261.47212809,reverse,False
-1.899999999999999,1e-12,0.0,36.198093949248054,-38035109.331690766,reverse,False
-1.9999999999999991,1e-12,0.0,35.97426086672231,-40036957.19125344,reverse,False
-2.099999999999999,1e-12,0.0,35.72347629175154,-42038805.05081611,reverse,False
-2.1999999999999993,1e-12,0.0,35.44271811284844,-44040652.910378784,reverse,False
-2.2999999999999994,1e-12,0.0,35.12868325761042,-46042500.769941464,reverse,False
-2.3999999999999995,1e-12,0.0,34.777776779833445,-48044348.62950414,reverse,False
-2.4999999999999996,1e-12,0.0,34.38610495745847,-50046196.48906681,reverse,False
-2.5999999999999996,1e-12,0.0,33.94947386822766,-52048044.34862949,reverse,False
-2.6999999999999997,1e-12,0.0,33.46339517874682,-54049892.20819216,reverse,False
-2.8,1e-12,0.0,32.92310115392834,-56051740.067754835,reverse,False
-2.9,1e-12,0.0,32.32357114691973,-58053587.927317515,reverse,False
-3.0,1e-12,0.0,31.659572035181743,-60055435.78688019,reverse,False
